religion,count
Roman Catholic,20670051
Greco Catholic,3336164
Orthodox,3762484
Protestant Lutheran,424216
Protestant Reformed,33295
Protestant Unite,269531
Protestant (gen.),108216
Other Christian,145418
Judaism,3113933
Other non-Christian,6750
Non-believers,6058
Not Declared,39663
